date,vehicle_category,vehicle_class,manufacturer,state,rto,registrations,quarter,year
2022-02-01,4W,COMMERCIAL VEHICLE,Tata Motors,Gujarat,GU06,8245,2022-Q1,2022
2022-02-01,4W,SUV,Tata Motors,Uttar Pradesh,UT57,4461,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Mahindra,Maharashtra,MA45,4408,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Mahindra,Tamil Nadu,TA84,6298,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Mahindra,Karnataka,KA90,5653,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Mahindra,Gujarat,GU77,3320,2022-Q1,2022
2022-02-01,4W,BUS,Mahindra,Uttar Pradesh,UT10,4899,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Honda Cars,Maharashtra,MA40,3953,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Honda Cars,Tamil Nadu,TA17,1786,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Honda Cars,Karnataka,KA35,4411,2022-Q1,2022
2022-02-01,4W,BUS,Honda Cars,Gujarat,GU50,10246,2022-Q1,2022
2022-02-01,4W,SUV,Honda Cars,Uttar Pradesh,UT76,2557,2022-Q1,2022
2022-02-01,4W,SUV,Toyota,Maharashtra,MA60,4499,2022-Q1,2022
2022-02-01,4W,SUV,Toyota,Tamil Nadu,TA60,5886,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Toyota,Karnataka,KA78,5368,2022-Q1,2022
2022-02-01,4W,MOTOR CAR,Toyota,Gujarat,GU18,2693,2022-Q1,2022
2022-02-01,4W,BUS,Toyota,Uttar Pradesh,UT51,3241,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Kia,Maharashtra,MA97,7897,2022-Q1,2022
2022-02-01,4W,SUV,Kia,Tamil Nadu,TA78,2796,2022-Q1,2022
2022-02-01,4W,SUV,Kia,Karnataka,KA06,5509,2022-Q1,2022
2022-02-01,4W,BUS,Kia,Gujarat,GU15,2691,2022-Q1,2022
2022-02-01,4W,COMMERCIAL VEHICLE,Kia,Uttar Pradesh,UT27,6756,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Hero MotoCorp,Maharashtra,MA27,7517,2022-Q1,2022
2022-03-01,2W,SCOOTER,Hero MotoCorp,Tamil Nadu,TA10,6610,2022-Q1,2022
2022-03-01,2W,SCOOTER,Hero MotoCorp,Karnataka,KA13,11346,2022-Q1,2022
2022-03-01,2W,MOPED,Hero MotoCorp,Gujarat,GU29,15263,2022-Q1,2022
2022-03-01,2W,SCOOTER,Hero MotoCorp,Uttar Pradesh,UT27,11962,2022-Q1,2022
2022-03-01,2W,MOPED,Honda,Maharashtra,MA69,5977,2022-Q1,2022
2022-03-01,2W,SCOOTER,Honda,Tamil Nadu,TA06,13543,2022-Q1,2022
2022-03-01,2W,MOPED,Honda,Karnataka,KA12,17789,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Honda,Gujarat,GU97,16732,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Honda,Uttar Pradesh,UT37,14326,2022-Q1,2022
2022-03-01,2W,MOPED,TVS,Maharashtra,MA09,10933,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,TVS,Tamil Nadu,TA86,7657,2022-Q1,2022
2022-03-01,2W,SCOOTER,TVS,Karnataka,KA36,15066,2022-Q1,2022
2022-03-01,2W,MOPED,TVS,Gujarat,GU21,13054,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,TVS,Uttar Pradesh,UT26,13255,2022-Q1,2022
2022-03-01,2W,MOPED,Bajaj,Maharashtra,MA38,16646,2022-Q1,2022
2022-03-01,2W,MOPED,Bajaj,Tamil Nadu,TA59,14264,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Bajaj,Karnataka,KA71,8070,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Bajaj,Gujarat,GU29,10807,2022-Q1,2022
2022-03-01,2W,SCOOTER,Bajaj,Uttar Pradesh,UT85,13866,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Yamaha,Maharashtra,MA20,17388,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Yamaha,Tamil Nadu,TA71,7940,2022-Q1,2022
2022-03-01,2W,MOPED,Yamaha,Karnataka,KA56,12931,2022-Q1,2022
2022-03-01,2W,MOTORCYCLE,Yamaha,Gujarat,GU93,10973,2022-Q1,2022
2022-03-01,2W,MOPED,Yamaha,Uttar Pradesh,UT66,13466,2022-Q1,2022
2022-03-01,2W,SCOOTER,Royal Enfield,Maharashtra,MA51,10064,2022-Q1,2022
2022-03-01,2W,MOPED,Royal Enfield,Tamil Nadu,TA03,10226,2022-Q1,2022
2022-03-01,2W,SCOOTER,Royal Enfield,Karnataka,KA97,18866,2022-Q1,2022
2022-03-01,2W,MOPED,Royal Enfield,Gujarat,GU93,19855,2022-Q1,2022
2022-03-01,2W,MOPED,Royal Enfield,Uttar Pradesh,UT59,13015,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Bajaj Auto,Maharashtra,MA67,696,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,Bajaj Auto,Tamil Nadu,TA32,1804,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Bajaj Auto,Karnataka,KA14,913,2022-Q1,2022
2022-03-01,3W,E-RICKSHAW,Bajaj Auto,Gujarat,GU33,1045,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Bajaj Auto,Uttar Pradesh,UT60,507,2022-Q1,2022
2022-03-01,3W,E-RICKSHAW,Mahindra,Maharashtra,MA02,1027,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Mahindra,Tamil Nadu,TA37,792,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Mahindra,Karnataka,KA44,1513,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Mahindra,Gujarat,GU74,2012,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Mahindra,Uttar Pradesh,UT81,2626,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,TVS,Maharashtra,MA73,991,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,TVS,Tamil Nadu,TA58,1570,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,TVS,Karnataka,KA42,1325,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,TVS,Gujarat,GU25,401,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,TVS,Uttar Pradesh,UT86,1509,2022-Q1,2022
2022-03-01,3W,E-RICKSHAW,Piaggio,Maharashtra,MA40,2100,2022-Q1,2022
2022-03-01,3W,E-RICKSHAW,Piaggio,Tamil Nadu,TA10,2700,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,Piaggio,Karnataka,KA54,1047,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Piaggio,Gujarat,GU21,1189,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Piaggio,Uttar Pradesh,UT59,1542,2022-Q1,2022
2022-03-01,3W,E-RICKSHAW,Force Motors,Maharashtra,MA24,1559,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,Force Motors,Tamil Nadu,TA36,809,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,Force Motors,Karnataka,KA98,1670,2022-Q1,2022
2022-03-01,3W,AUTO RICKSHAW,Force Motors,Gujarat,GU40,495,2022-Q1,2022
2022-03-01,3W,3W GOODS VEHICLE,Force Motors,Uttar Pradesh,UT25,2107,2022-Q1,2022
2022-03-01,4W,BUS,Maruti Suzuki,Maharashtra,MA51,7857,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Maruti Suzuki,Tamil Nadu,TA44,9549,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Maruti Suzuki,Karnataka,KA47,3158,2022-Q1,2022
2022-03-01,4W,BUS,Maruti Suzuki,Gujarat,GU95,8199,2022-Q1,2022
2022-03-01,4W,SUV,Maruti Suzuki,Uttar Pradesh,UT72,10317,2022-Q1,2022
2022-03-01,4W,SUV,Hyundai,Maharashtra,MA26,7088,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Hyundai,Tamil Nadu,TA26,9016,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Hyundai,Karnataka,KA07,2100,2022-Q1,2022
2022-03-01,4W,SUV,Hyundai,Gujarat,GU95,3594,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Hyundai,Uttar Pradesh,UT17,3111,2022-Q1,2022
2022-03-01,4W,BUS,Tata Motors,Maharashtra,MA45,4193,2022-Q1,2022
2022-03-01,4W,SUV,Tata Motors,Tamil Nadu,TA55,8150,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Tata Motors,Karnataka,KA04,1698,2022-Q1,2022
2022-03-01,4W,BUS,Tata Motors,Gujarat,GU42,9041,2022-Q1,2022
2022-03-01,4W,SUV,Tata Motors,Uttar Pradesh,UT13,2828,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Mahindra,Maharashtra,MA39,10117,2022-Q1,2022
2022-03-01,4W,SUV,Mahindra,Tamil Nadu,TA57,5302,2022-Q1,2022
2022-03-01,4W,SUV,Mahindra,Karnataka,KA25,2816,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Mahindra,Gujarat,GU03,6377,2022-Q1,2022
2022-03-01,4W,BUS,Mahindra,Uttar Pradesh,UT18,1955,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Honda Cars,Maharashtra,MA79,8060,2022-Q1,2022
2022-03-01,4W,BUS,Honda Cars,Tamil Nadu,TA12,7714,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Honda Cars,Karnataka,KA70,3839,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Honda Cars,Gujarat,GU62,10056,2022-Q1,2022
2022-03-01,4W,BUS,Honda Cars,Uttar Pradesh,UT59,9204,2022-Q1,2022
2022-03-01,4W,SUV,Toyota,Maharashtra,MA74,2938,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Toyota,Tamil Nadu,TA03,2257,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Toyota,Karnataka,KA09,2194,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Toyota,Gujarat,GU35,3556,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Toyota,Uttar Pradesh,UT32,4432,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Kia,Maharashtra,MA73,9187,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Kia,Tamil Nadu,TA56,2544,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Kia,Karnataka,KA98,10095,2022-Q1,2022
2022-03-01,4W,MOTOR CAR,Kia,Gujarat,GU05,5547,2022-Q1,2022
2022-03-01,4W,COMMERCIAL VEHICLE,Kia,Uttar Pradesh,UT38,8144,2022-Q1,2022
2022-04-01,2W,SCOOTER,Hero MotoCorp,Maharashtra,MA70,20303,2022-Q2,2022
2022-04-01,2W,MOTORCYCLE,Hero MotoCorp,Tamil Nadu,TA81,19297,2022-Q2,2022
2022-04-01,2W,MOPED,Hero MotoCorp,Karnataka,KA58,12976,2022-Q2,2022
2022-04-01,2W,MOPED,Hero MotoCorp,Gujarat,GU77,25150,2022-Q2,2022
2022-04-01,2W,MOTORCYCLE,Hero MotoCorp,Uttar Pradesh,UT59,24219,2022-Q2,2022
2022-04-01,2W,SCOOTER,Honda,Maharashtra,MA63,7812,2022-Q2,2022
2022-04-01,2W,MOPED,Honda,Tamil Nadu,TA45,8148,2022-Q2,2022
2022-04-01,2W,MOPED,Honda,Karnataka,KA53,12141,2022-Q2,2022
2022-04-01,2W,SCOOTER,Honda,Gujarat,GU78,7556,2022-Q2,2022
